EART,EvDateTime,EvType,AssoProt,Descr,RprProt,Proto,SpEvTyp
5804,11/13/2024,Enroll in protocol,,Spectramast 3d,,,Enroll in protocol
5519,11/22/2024,Enroll in protocol,,Spectramast 3d,,,Enroll in protocol
5447,1/1/2025,Enroll in protocol,,Spectramast 3d,ReSync-GPG,,Enroll in protocol
5519,1/22/2025,Enroll in protocol,,Spectramast 3d,,,Enroll in protocol
5568,11/30/2024,Enroll in protocol,,Spectramast 2d - vet approved extended 7d course for kleb 1RFmast,,,Enroll in protocol
5519,1/25/2025,Enroll in protocol,,Spectramast 2d - toxic mastRR tx,,,Enroll in protocol
5568,11/28/2024,Enroll in protocol,,Spectramast 2d - cancelled without completion - vet approved 7d course,,,Enroll in protocol
5519,11/20/2024,Enroll in protocol,,Spectramast 2d - cancelled without completion,,,Enroll in protocol
5531,10/21/2024,Enroll in protocol,,Spectramast 2d - 3RFmast,,,Enroll in protocol
5246,11/6/2024,Enroll in protocol,,Spectramast 2d - 3RF mast tx,,,Enroll in protocol
5427,12/2/2024,Enroll in protocol,,Spectramast 2d - 3RF mast tx,,,Enroll in protocol
5447,12/30/2024,Enroll in protocol,,Spectramast 2d - 3RF mast tx,ReSync-GPG,,Enroll in protocol
5570,1/10/2025,Enroll in protocol,,Spectramast 2d - 1RR staph SCN,,,Enroll in protocol
5888,9/11/2024,Enroll in protocol,,Spectramast 2d - 1RF,,,Enroll in protocol
5401,9/1/2024,Enroll in protocol,,Spectramast 2d,,,Enroll in protocol
91409,9/1/2024,Enroll in protocol,,Spectramast 2d,Double OVS 2PgF,,Enroll in protocol
5907,9/6/2024,Enroll in protocol,,Spectramast 2d,,,Enroll in protocol
5922,9/7/2024,Enroll in protocol,,Spectramast 2d,,,Enroll in protocol
5965,10/4/2024,Enroll in protocol,,Spectramast 2d,Reset GGPG,,Enroll in protocol
5570,10/6/2024,Enroll in protocol,,Spectramast 2d,,,Enroll in protocol
5246,11/8/2024,Enroll in protocol,,Spectramast 2d,,,Enroll in protocol
5451,11/11/2024,Enroll in protocol,,Spectramast 2d,,,Enroll in protocol
5833,11/15/2024,Enroll in protocol,,Spectramast 2d,,,Enroll in protocol
5804,11/16/2024,Enroll in protocol,,Spectramast 2d,,,Enroll in protocol
5505,12/30/2024,Enroll in protocol,,Spectramast 2d,,,Enroll in protocol
5665,1/11/2025,Enroll in protocol,,Spectramast 2d,Reset GGPG,,Enroll in protocol
5902,10/2/2024,Sold Cull,,Sold - Staph Aureus,,,Sold
5550,10/30/2024,Sold Cull,,Sold - Staph Aureus,,,Sold
5427,12/11/2024,Sold Cull,,Sold - Staph Aureus,,,Sold
5362,1/8/2025,Sold Cull,,Sold - Staph Aureus,,,Sold
5480,1/8/2025,Sold Cull,,Sold - Staph Aureus,,,Sold
5763,9/4/2024,Sold Cull,,Sold - Low Production Udder Feet and Legs,,,Sold
5672,9/25/2024,Sold Cull,,Sold - Low Production Long Open,,,Sold
5890,9/25/2024,Sold Cull,,Sold - Low Production Long Open,,,Sold
5542,9/25/2024,Sold Cull,,Sold - Low Production Long Open,,,Sold
5492,9/25/2024,Sold Cull,,Sold - Low Production Long Open,,,Sold
5723,10/23/2024,Sold Cull,,Sold - Low Production,,,Sold
5855,12/11/2024,Sold Cull,,Sold - Low Production,,,Sold
5536,1/8/2025,Sold Cull,,Sold - Low Production,,,Sold
5618,1/8/2025,Sold Cull,,Sold - Low Production,,,Sold
5380,10/23/2024,Sold Cull,,Sold - Long Open,,,Sold
9473,10/23/2024,Sold Cull,,Sold - Feet and Legs Low Production,,,Sold
5349,10/23/2024,Sold Cull,,Sold - Feet and Legs Low Production,,,Sold
5401,10/2/2024,Sold Cull,,Sold - Feet and Legs,,,Sold
5778,10/9/2024,Sold Cull,,Sold - Feet and Legs,,,Sold
534,12/20/2024,Sold Cull,,Sold - Bull Calf  Paitons projecy,,,Sold
540,1/20/2025,Sold Cull,,Sold - Bull Calf  Paitons project,,,Sold
536,12/20/2024,Sold Cull,,Sold - Bull Calf  Paitons project,,,Sold
519,10/31/2024,Sold Cull,,Sold - Bull Calf,,,Sold
520,10/31/2024,Sold Cull,,Sold - Bull Calf,,,Sold
517,10/31/2024,Sold Cull,,Sold - Bull Calf,,,Sold
518,10/31/2024,Sold Cull,,Sold - Bull Calf,,,Sold
507,10/31/2024,Sold Cull,,Sold - Bull Calf,,,Sold
508,10/31/2024,Sold Cull,,Sold - Bull Calf,,,Sold
505,10/31/2024,Sold Cull,,Sold - Bull Calf,,,Sold
510,10/31/2024,Sold Cull,,Sold - Bull Calf,,,Sold
509,10/31/2024,Sold Cull,,Sold - Bull Calf,,,Sold
504,10/31/2024,Sold Cull,,Sold - Bull Calf,,,Sold
513,10/31/2024,Sold Cull,,Sold - Bull Calf,,,Sold
514,10/31/2024,Sold Cull,,Sold - Bull Calf,,,Sold
511,10/31/2024,Sold Cull,,Sold - Bull Calf,,,Sold
512,10/31/2024,Sold Cull,,Sold - Bull Calf,,,Sold
515,10/31/2024,Sold Cull,,Sold - Bull Calf,,,Sold
516,10/31/2024,Sold Cull,,Sold - Bull Calf,,,Sold
526,12/13/2024,Sold Cull,,Sold - Bull Calf,,,Sold
527,12/13/2024,Sold Cull,,Sold - Bull Calf,,,Sold
525,12/13/2024,Sold Cull,,Sold - Bull Calf,,,Sold
521,12/13/2024,Sold Cull,,Sold - Bull Calf,,,Sold
499,12/13/2024,Sold Cull,,Sold - Bull Calf,,,Sold
502,12/13/2024,Sold Cull,,Sold - Bull Calf,,,Sold
524,12/13/2024,Sold Cull,,Sold - Bull Calf,,,Sold
522,12/13/2024,Sold Cull,,Sold - Bull Calf,,,Sold
523,12/13/2024,Sold Cull,,Sold - Bull Calf,,,Sold
5705,10/9/2024,Sold Cull,,Sold - Abortion  Found open at 60-day check  300dim.,,,Sold
5975,1/27/2025,Repro Check,,Small CL  lots of fluid and follicles. Not ready for lut today of GGPG resync started 1.13. Vet Rx re-enroll in GPG and recheck next week.,ReSync-GPG,,Repro Check
6271,11/27/2024,Notes,,Sire corrected to 7HO16497. Sire could also have been 7HO16497  7HO16497  250HO16497  550HO16497  559HO16497  559HO16497,,,Notes
6235,10/16/2024,Notes,,Sire corrected to 7HO16427. Sire could also have been 507HO16427  585HO16427,,,Notes
6232,10/16/2024,Notes,,Sire corrected to 7HO16427. Sire could also have been 507HO16427  585HO16427,,,Notes
6233,10/16/2024,Notes,,Sire corrected to 7HO16315. Sire could also have been 507HO16315,,,Notes
6242,10/16/2024,Notes,,Sire corrected to 7HO16097. Sire could also have been 507HO16097,,,Notes
6265,11/27/2024,Notes,,Sire corrected to 7HO16011. Sire could also have been 14HO16011  614HO16011,,,Notes
6240,10/16/2024,Notes,,Sire corrected to 7HO15932. Sire could also have been 14HO15932  585HO15932  614HO15932,,,Notes
6268,11/27/2024,Notes,,Sire corrected to 151HO4835. Sire could also have been 551HO4835,,,Notes
6225,10/16/2024,Notes,,Sire corrected to 11HO15783. Sire could also have been 122HO15783  511HO15783  581HO15783,,,Notes
5434,12/23/2024,Watch List,,Sick for 5434 days,,,Watch List
6272,9/18/2024,Watch List,,Sick for 3 days,,,Watch List
6282,10/16/2024,Watch List,,Sick for 3 days,,,Watch List
6295,10/16/2024,Watch List,,Sick for 3 days,,,Watch List
6277,10/16/2024,Watch List,,Sick for 3 days,,,Watch List
6293,10/16/2024,Watch List,,Sick for 3 days,,,Watch List
6291,10/29/2024,Watch List,,Sick for 3 days,,,Watch List
6292,10/28/2024,Watch List,,Sick for 3 days,,,Watch List
6285,10/26/2024,Watch List,,Sick for 3 days,,,Watch List
6255,10/23/2024,Watch List,,Sick for 3 days,,,Watch List
6254,10/23/2024,Watch List,,Sick for 3 days,,,Watch List
6293,10/27/2024,Watch List,,Sick for 3 days,,,Watch List
6298,10/28/2024,Watch List,,Sick for 3 days,,,Watch List
6296,10/30/2024,Watch List,,Sick for 3 days,,,Watch List
6295,10/29/2024,Watch List,,Sick for 3 days,,,Watch List
6301,10/28/2024,Watch List,,Sick for 3 days,,,Watch List
6299,10/30/2024,Watch List,,Sick for 3 days,,,Watch List
6303,10/30/2024,Watch List,,Sick for 3 days,,,Watch List
6285,11/13/2024,Watch List,,Sick for 3 days,,,Watch List
6310,11/12/2024,Watch List,,Sick for 3 days,,,Watch List
6308,11/13/2024,Watch List,,Sick for 3 days,,,Watch List
6308,11/15/2024,Watch List,,Sick for 3 days,,,Watch List
6317,12/12/2024,Watch List,,Sick for 3 days,,,Watch List
6317,12/14/2024,Watch List,,Sick for 3 days,,,Watch List
6317,12/15/2024,Watch List,,Sick for 3 days,,,Watch List
6317,12/16/2024,Watch List,,Sick for 3 days,,,Watch List
6249,12/17/2024,Watch List,,Sick for 3 days,,,Watch List
6321,12/18/2024,Watch List,,Sick for 3 days,,,Watch List
6249,12/18/2024,Watch List,,Sick for 3 days,,,Watch List
6326,12/26/2024,Watch List,,Sick for 3 days,,,Watch List
6335,12/26/2024,Watch List,,Sick for 3 days,,,Watch List
6335,12/28/2024,Watch List,,Sick for 3 days,,,Watch List
6326,12/28/2024,Watch List,,Sick for 3 days,,,Watch List
6277,12/27/2024,Watch List,,Sick for 3 days,,,Watch List
6326,12/29/2024,Watch List,,Sick for 3 days,,,Watch List
6277,12/29/2024,Watch List,,Sick for 3 days,,,Watch List
6335,12/31/2024,Watch List,,Sick for 3 days,,,Watch List
6335,12/29/2024,Watch List,,Sick for 3 days,,,Watch List
6277,12/30/2024,Watch List,,Sick for 3 days,,,Watch List
6326,12/30/2024,Watch List,,Sick for 3 days,,,Watch List
6273,12/31/2024,Watch List,,Sick for 3 days,,,Watch List
6283,12/31/2024,Watch List,,Sick for 3 days,,,Watch List
6276,1/1/2025,Watch List,,Sick for 3 days,,,Watch List
6272,12/30/2024,Watch List,,Sick for 3 days,,,Watch List
6335,1/1/2025,Watch List,,Sick for 3 days,,,Watch List
6326,12/31/2024,Watch List,,Sick for 3 days,,,Watch List
6273,12/30/2024,Watch List,,Sick for 3 days,,,Watch List
6277,12/31/2024,Watch List,,Sick for 3 days,,,Watch List
6264,12/31/2024,Watch List,,Sick for 3 days,,,Watch List
6264,1/1/2025,Watch List,,Sick for 3 days,,,Watch List
6283,1/1/2025,Watch List,,Sick for 3 days,,,Watch List
6326,1/1/2025,Watch List,,Sick for 3 days,,,Watch List
6273,1/1/2025,Watch List,,Sick for 3 days,,,Watch List
6277,1/2/2025,Watch List,,Sick for 3 days,,,Watch List
6276,12/31/2024,Watch List,,Sick for 3 days,,,Watch List
6272,1/1/2025,Watch List,,Sick for 3 days,,,Watch List
6255,1/1/2025,Watch List,,Sick for 3 days,,,Watch List
6335,1/1/2025,Watch List,,Sick for 3 days,,,Watch List
538,1/1/2025,Watch List,,Sick for 3 days,,,Watch List
6330,1/1/2025,Watch List,,Sick for 3 days,,,Watch List
537,1/1/2025,Watch List,,Sick for 3 days,,,Watch List
6271,1/5/2025,Watch List,,Sick for 3 days,,,Watch List
537,1/9/2025,Watch List,,Sick for 3 days,,,Watch List
6335,1/6/2025,Watch List,,Sick for 3 days,,,Watch List
6330,1/2/2025,Watch List,,Sick for 3 days,,,Watch List
6270,1/4/2025,Watch List,,Sick for 3 days,,,Watch List
6268,1/8/2025,Watch List,,Sick for 3 days,,,Watch List
6275,1/6/2025,Watch List,,Sick for 3 days,,,Watch List
6272,1/2/2025,Watch List,,Sick for 3 days,,,Watch List
6276,1/4/2025,Watch List,,Sick for 3 days,,,Watch List
6326,1/2/2025,Watch List,,Sick for 3 days,,,Watch List
6277,1/1/2025,Watch List,,Sick for 3 days,,,Watch List
6283,1/4/2025,Watch List,,Sick for 3 days,,,Watch List
6273,1/4/2025,Watch List,,Sick for 3 days,,,Watch List
6264,1/4/2025,Watch List,,Sick for 3 days,,,Watch List
6255,1/5/2025,Watch List,,Sick for 3 days,,,Watch List
6271,1/1/2025,Watch List,,Sick for 3 days,,,Watch List
538,1/9/2025,Watch List,,Sick for 3 days,,,Watch List
6281,1/9/2025,Watch List,,Sick for 3 days,,,Watch List
6282,1/9/2025,Watch List,,Sick for 3 days,,,Watch List
6261,1/9/2025,Watch List,,Sick for 3 days,,,Watch List
6289,1/10/2025,Watch List,,Sick for 3 days,,,Watch List
6299,1/15/2025,Watch List,,Sick for 3 days,,,Watch List
5519,1/22/2025,Watch List,,Sick for 3 days,,,Watch List
541,1/24/2025,Watch List,,Sick for 3 days,,,Watch List
541,1/25/2025,Watch List,,Sick for 3 days,,,Watch List
541,1/26/2025,Watch List,,Sick for 3 days,,,Watch List
6340,1/27/2025,Watch List,,Sick for 3 days,,,Watch List
545,1/26/2025,Watch List,,Sick for 3 days,,,Watch List
6340,1/28/2025,Watch List,,Sick for 3 days,,,Watch List
6340,1/29/2025,Watch List,,Sick for 3 days,,,Watch List
6340,1/29/2025,Watch List,,Sick for 3 days,,,Watch List
91409,12/20/2024,Watch List,,Sick for 25 days,Double OVS 2PgF,,Watch List
91375,12/20/2024,Watch List,,Sick for 25 days,Double OVS 2PgF,,Watch List
5634,12/20/2024,Watch List,,Sick for 25 days,Double OVS 2PgF,,Watch List
5746,12/20/2024,Watch List,,Sick for 25 days,Double OVS 2PgF,,Watch List
5660,12/20/2024,Watch List,,Sick for 25 days,Double OVS 2PgF,,Watch List
5829,12/20/2024,Watch List,,Sick for 25 days,Double OVS 2PgF,,Watch List
5406,9/1/2024,Watch List,,Sick for 2 days,Double OVS 2PgF,,Watch List
5607,9/1/2024,Watch List,,Sick for 2 days,,,Watch List
5907,9/1/2024,Watch List,,Sick for 2 days,,,Watch List
5815,9/4/2024,Watch List,,Sick for 2 days,,,Watch List
5922,9/5/2024,Watch List,,Sick for 2 days,,,Watch List
5967,9/5/2024,Watch List,,Sick for 2 days,,,Watch List
5815,9/5/2024,Watch List,,Sick for 2 days,,,Watch List
5810,9/5/2024,Watch List,,Sick for 2 days,,,Watch List
5658,9/5/2024,Watch List,,Sick for 2 days,,,Watch List
5475,9/5/2024,Watch List,,Sick for 2 days,,,Watch List
91409,9/5/2024,Watch List,,Sick for 2 days,Double OVS 2PgF,,Watch List
5975,9/5/2024,Watch List,,Sick for 2 days,ReSync-GPG,,Watch List
5907,9/5/2024,Watch List,,Sick for 2 days,,,Watch List
5810,9/6/2024,Watch List,,Sick for 2 days,,,Watch List
5805,9/6/2024,Watch List,,Sick for 2 days,,,Watch List
5658,9/6/2024,Watch List,,Sick for 2 days,,,Watch List
5475,9/6/2024,Watch List,,Sick for 2 days,,,Watch List
5606,9/6/2024,Watch List,,Sick for 2 days,,,Watch List
5922,9/6/2024,Watch List,,Sick for 2 days,,,Watch List
5815,9/6/2024,Watch List,,Sick for 2 days,,,Watch List
5076,9/6/2024,Watch List,,Sick for 2 days,,,Watch List
9787,9/6/2024,Watch List,,Sick for 2 days,,,Watch List
5975,9/6/2024,Watch List,,Sick for 2 days,ReSync-GPG,,Watch List
5967,9/6/2024,Watch List,,Sick for 2 days,,,Watch List
91409,9/6/2024,Watch List,,Sick for 2 days,Double OVS 2PgF,,Watch List
5907,9/6/2024,Watch List,,Sick for 2 days,,,Watch List
6240,9/6/2024,Watch List,,Sick for 2 days,,,Watch List
91409,9/7/2024,Watch List,,Sick for 2 days,Double OVS 2PgF,,Watch List
5907,9/7/2024,Watch List,,Sick for 2 days,,,Watch List
5975,9/7/2024,Watch List,,Sick for 2 days,ReSync-GPG,,Watch List
5967,9/7/2024,Watch List,,Sick for 2 days,,,Watch List
5922,9/7/2024,Watch List,,Sick for 2 days,,,Watch List
5648,9/7/2024,Watch List,,Sick for 2 days,Reset GGPG,,Watch List
5076,9/7/2024,Watch List,,Sick for 2 days,,,Watch List
9787,9/7/2024,Watch List,,Sick for 2 days,,,Watch List
5606,9/7/2024,Watch List,,Sick for 2 days,,,Watch List
5810,9/7/2024,Watch List,,Sick for 2 days,,,Watch List
5805,9/7/2024,Watch List,,Sick for 2 days,,,Watch List
5475,9/7/2024,Watch List,,Sick for 2 days,,,Watch List
6267,9/8/2024,Watch List,,Sick for 2 days,,,Watch List
5810,9/8/2024,Watch List,,Sick for 2 days,,,Watch List
5805,9/8/2024,Watch List,,Sick for 2 days,,,Watch List
5475,9/8/2024,Watch List,,Sick for 2 days,,,Watch List
5462,9/8/2024,Watch List,,Sick for 2 days,,,Watch List
5922,9/8/2024,Watch List,,Sick for 2 days,,,Watch List
5658,9/8/2024,Watch List,,Sick for 2 days,,,Watch List
91409,9/8/2024,Watch List,,Sick for 2 days,Double OVS 2PgF,,Watch List
5975,9/8/2024,Watch List,,Sick for 2 days,ReSync-GPG,,Watch List
5967,9/8/2024,Watch List,,Sick for 2 days,,,Watch List
5648,9/8/2024,Watch List,,Sick for 2 days,Reset GGPG,,Watch List
5908,9/9/2024,Watch List,,Sick for 2 days,,,Watch List
5909,9/9/2024,Watch List,,Sick for 2 days,Double OVS 2PgF,,Watch List
5922,9/9/2024,Watch List,,Sick for 2 days,,,Watch List
5475,9/9/2024,Watch List,,Sick for 2 days,,,Watch List
5362,9/9/2024,Watch List,,Sick for 2 days,,,Watch List
5572,9/9/2024,Watch List,,Sick for 2 days,Double OVS 2PgF,,Watch List
5585,9/9/2024,Watch List,,Sick for 2 days,,,Watch List
5805,9/9/2024,Watch List,,Sick for 2 days,,,Watch List
5658,9/9/2024,Watch List,,Sick for 2 days,,,Watch List
5641,9/9/2024,Watch List,,Sick for 2 days,,,Watch List
5888,9/9/2024,Watch List,,Sick for 2 days,,,Watch List
5815,9/9/2024,Watch List,,Sick for 2 days,,,Watch List
5967,9/9/2024,Watch List,,Sick for 2 days,,,Watch List
5975,9/9/2024,Watch List,,Sick for 2 days,ReSync-GPG,,Watch List
91409,9/9/2024,Watch List,,Sick for 2 days,Double OVS 2PgF,,Watch List
5648,9/9/2024,Watch List,,Sick for 2 days,Reset GGPG,,Watch List
5989,9/9/2024,Watch List,,Sick for 2 days,,,Watch List
5377,9/9/2024,Watch List,,Sick for 2 days,,,Watch List
5516,9/9/2024,Watch List,,Sick for 2 days,,,Watch List
5914,9/9/2024,Watch List,,Sick for 2 days,,,Watch List
6267,9/9/2024,Watch List,,Sick for 2 days,,,Watch List
6240,9/9/2024,Watch List,,Sick for 2 days,,,Watch List
5888,9/11/2024,Watch List,,Sick for 2 days,,,Watch List
5914,9/10/2024,Watch List,,Sick for 2 days,,,Watch List
5989,9/10/2024,Watch List,,Sick for 2 days,,,Watch List
5922,9/10/2024,Watch List,,Sick for 2 days,,,Watch List
5907,9/10/2024,Watch List,,Sick for 2 days,,,Watch List
5377,9/10/2024,Watch List,,Sick for 2 days,,,Watch List
5585,9/10/2024,Watch List,,Sick for 2 days,,,Watch List
5362,9/10/2024,Watch List,,Sick for 2 days,,,Watch List
5532,9/10/2024,Watch List,,Sick for 2 days,,,Watch List
5475,9/10/2024,Watch List,,Sick for 2 days,,,Watch List
5516,9/10/2024,Watch List,,Sick for 2 days,,,Watch List
5909,9/10/2024,Watch List,,Sick for 2 days,Double OVS 2PgF,,Watch List
5908,9/10/2024,Watch List,,Sick for 2 days,,,Watch List
5815,9/10/2024,Watch List,,Sick for 2 days,,,Watch List
5641,9/10/2024,Watch List,,Sick for 2 days,,,Watch List
5572,9/10/2024,Watch List,,Sick for 2 days,Double OVS 2PgF,,Watch List
5805,9/10/2024,Watch List,,Sick for 2 days,,,Watch List
6267,9/10/2024,Watch List,,Sick for 2 days,,,Watch List
5396,9/11/2024,Watch List,,Sick for 2 days,,,Watch List
5922,9/11/2024,Watch List,,Sick for 2 days,,,Watch List
5914,9/11/2024,Watch List,,Sick for 2 days,,,Watch List
6271,9/18/2024,Watch List,,Sick for 2 days,,,Watch List
6267,9/17/2024,Watch List,,Sick for 2 days,,,Watch List
5605,9/11/2024,Watch List,,Sick for 2 days,Double OVS 2PgF,,Watch List
5532,9/11/2024,Watch List,,Sick for 2 days,,,Watch List
5475,9/11/2024,Watch List,,Sick for 2 days,,,Watch List
5805,9/11/2024,Watch List,,Sick for 2 days,,,Watch List
5585,9/11/2024,Watch List,,Sick for 2 days,,,Watch List
5362,9/11/2024,Watch List,,Sick for 2 days,,,Watch List
5909,9/11/2024,Watch List,,Sick for 2 days,Double OVS 2PgF,,Watch List
5888,9/11/2024,Watch List,,Sick for 2 days,,,Watch List
5516,9/11/2024,Watch List,,Sick for 2 days,,,Watch List
5989,9/11/2024,Watch List,,Sick for 2 days,,,Watch List
5983,9/11/2024,Watch List,,Sick for 2 days,,,Watch List
5907,9/11/2024,Watch List,,Sick for 2 days,,,Watch List
5975,9/11/2024,Watch List,,Sick for 2 days,ReSync-GPG,,Watch List
5914,9/12/2024,Watch List,,Sick for 2 days,,,Watch List
5914,9/13/2024,Watch List,,Sick for 2 days,,,Watch List
5914,9/14/2024,Watch List,,Sick for 2 days,,,Watch List
5960,9/14/2024,Watch List,,Sick for 2 days,,,Watch List
5938,9/14/2024,Watch List,,Sick for 2 days,,,Watch List
5938,9/15/2024,Watch List,,Sick for 2 days,,,Watch List
5870,9/15/2024,Watch List,,Sick for 2 days,,,Watch List
5076,9/16/2024,Watch List,,Sick for 2 days,,,Watch List
5401,9/17/2024,Watch List,,Sick for 2 days,,,Watch List
5870,9/17/2024,Watch List,,Sick for 2 days,,,Watch List
5332,9/17/2024,Watch List,,Sick for 2 days,,,Watch List
5332,9/18/2024,Watch List,,Sick for 2 days,,,Watch List
5401,9/18/2024,Watch List,,Sick for 2 days,,,Watch List
5870,9/18/2024,Watch List,,Sick for 2 days,,,Watch List
5468,9/19/2024,Watch List,,Sick for 2 days,Double OVS 2PgF,,Watch List
5481,9/19/2024,Watch List,,Sick for 2 days,Double OVS 2PgF,,Watch List
5870,9/19/2024,Watch List,,Sick for 2 days,,,Watch List
5332,9/19/2024,Watch List,,Sick for 2 days,,,Watch List
5805,9/19/2024,Watch List,,Sick for 2 days,,,Watch List
5401,9/19/2024,Watch List,,Sick for 2 days,,,Watch List
6271,9/19/2024,Watch List,,Sick for 2 days,,,Watch List
5658,9/19/2024,Watch List,,Sick for 2 days,,,Watch List
5585,9/19/2024,Watch List,,Sick for 2 days,,,Watch List
5362,9/19/2024,Watch List,,Sick for 2 days,,,Watch List
5637,9/19/2024,Watch List,,Sick for 2 days,,,Watch List
5983,9/19/2024,Watch List,,Sick for 2 days,,,Watch List
5983,9/20/2024,Watch List,,Sick for 2 days,,,Watch List
5658,9/20/2024,Watch List,,Sick for 2 days,,,Watch List
5401,9/20/2024,Watch List,,Sick for 2 days,,,Watch List
6271,9/20/2024,Watch List,,Sick for 2 days,,,Watch List
5468,9/20/2024,Watch List,,Sick for 2 days,Double OVS 2PgF,,Watch List
5805,9/20/2024,Watch List,,Sick for 2 days,,,Watch List
5558,9/20/2024,Watch List,,Sick for 2 days,,,Watch List
5362,9/20/2024,Watch List,,Sick for 2 days,,,Watch List
5870,9/20/2024,Watch List,,Sick for 2 days,,,Watch List
5637,9/20/2024,Watch List,,Sick for 2 days,,,Watch List
5332,9/20/2024,Watch List,,Sick for 2 days,,,Watch List
5481,9/20/2024,Watch List,,Sick for 2 days,Double OVS 2PgF,,Watch List
5641,9/20/2024,Watch List,,Sick for 2 days,,,Watch List
6279,9/21/2024,Watch List,,Sick for 2 days,,,Watch List
6271,9/21/2024,Watch List,,Sick for 2 days,,,Watch List
5989,9/21/2024,Watch List,,Sick for 2 days,,,Watch List
5987,9/21/2024,Watch List,,Sick for 2 days,,,Watch List
5983,9/21/2024,Watch List,,Sick for 2 days,,,Watch List
5658,9/21/2024,Watch List,,Sick for 2 days,,,Watch List
5401,9/21/2024,Watch List,,Sick for 2 days,,,Watch List
5641,9/21/2024,Watch List,,Sick for 2 days,,,Watch List
5965,9/21/2024,Watch List,,Sick for 2 days,Reset GGPG,,Watch List
5805,9/21/2024,Watch List,,Sick for 2 days,,,Watch List
5362,9/21/2024,Watch List,,Sick for 2 days,,,Watch List
5558,9/21/2024,Watch List,,Sick for 2 days,,,Watch List
5332,9/21/2024,Watch List,,Sick for 2 days,,,Watch List
5965,9/22/2024,Watch List,,Sick for 2 days,Reset GGPG,,Watch List
5641,9/22/2024,Watch List,,Sick for 2 days,,,Watch List
5401,9/22/2024,Watch List,,Sick for 2 days,,,Watch List
5967,9/22/2024,Watch List,,Sick for 2 days,,,Watch List
5805,9/22/2024,Watch List,,Sick for 2 days,,,Watch List
5362,9/22/2024,Watch List,,Sick for 2 days,,,Watch List
5332,9/22/2024,Watch List,,Sick for 2 days,,,Watch List
5558,9/22/2024,Watch List,,Sick for 2 days,,,Watch List
5987,9/22/2024,Watch List,,Sick for 2 days,,,Watch List
5983,9/22/2024,Watch List,,Sick for 2 days,,,Watch List
5658,9/22/2024,Watch List,,Sick for 2 days,,,Watch List
6275,9/22/2024,Watch List,,Sick for 2 days,,,Watch List
6274,9/22/2024,Watch List,,Sick for 2 days,,,Watch List
6279,9/22/2024,Watch List,,Sick for 2 days,,,Watch List
6271,9/22/2024,Watch List,,Sick for 2 days,,,Watch List
6275,9/23/2024,Watch List,,Sick for 2 days,,,Watch List
6274,9/23/2024,Watch List,,Sick for 2 days,,,Watch List
6276,9/23/2024,Watch List,,Sick for 2 days,,,Watch List
6279,9/23/2024,Watch List,,Sick for 2 days,,,Watch List
5981,9/23/2024,Watch List,,Sick for 2 days,,,Watch List
5965,9/23/2024,Watch List,,Sick for 2 days,Reset GGPG,,Watch List
5658,9/23/2024,Watch List,,Sick for 2 days,,,Watch List
5641,9/23/2024,Watch List,,Sick for 2 days,,,Watch List
5401,9/23/2024,Watch List,,Sick for 2 days,,,Watch List
5989,9/23/2024,Watch List,,Sick for 2 days,,,Watch List
5987,9/23/2024,Watch List,,Sick for 2 days,,,Watch List
5983,9/23/2024,Watch List,,Sick for 2 days,,,Watch List
5362,9/23/2024,Watch List,,Sick for 2 days,,,Watch List
5967,9/23/2024,Watch List,,Sick for 2 days,,,Watch List
5332,9/23/2024,Watch List,,Sick for 2 days,,,Watch List
5401,9/24/2024,Watch List,,Sick for 2 days,,,Watch List
5981,9/24/2024,Watch List,,Sick for 2 days,,,Watch List
5967,9/24/2024,Watch List,,Sick for 2 days,,,Watch List
5987,9/24/2024,Watch List,,Sick for 2 days,,,Watch List
5957,9/24/2024,Watch List,,Sick for 2 days,,,Watch List
5641,9/24/2024,Watch List,,Sick for 2 days,,,Watch List
5989,9/24/2024,Watch List,,Sick for 2 days,,,Watch List
5982,9/24/2024,Watch List,,Sick for 2 days,,,Watch List
5965,9/24/2024,Watch List,,Sick for 2 days,Reset GGPG,,Watch List
5658,9/24/2024,Watch List,,Sick for 2 days,,,Watch List
5983,9/24/2024,Watch List,,Sick for 2 days,,,Watch List
6275,9/24/2024,Watch List,,Sick for 2 days,,,Watch List
6274,9/24/2024,Watch List,,Sick for 2 days,,,Watch List
6231,9/24/2024,Watch List,,Sick for 2 days,,,Watch List
6279,9/24/2024,Watch List,,Sick for 2 days,,,Watch List
6276,9/24/2024,Watch List,,Sick for 2 days,,,Watch List
5981,9/25/2024,Watch List,,Sick for 2 days,,,Watch List
5468,9/25/2024,Watch List,,Sick for 2 days,Double OVS 2PgF,,Watch List
5641,9/25/2024,Watch List,,Sick for 2 days,,,Watch List
5658,9/25/2024,Watch List,,Sick for 2 days,,,Watch List
5401,9/25/2024,Watch List,,Sick for 2 days,,,Watch List
5648,9/25/2024,Watch List,,Sick for 2 days,Reset GGPG,,Watch List
6276,10/2/2024,Watch List,,Sick for 2 days,,,Watch List
6275,10/2/2024,Watch List,,Sick for 2 days,,,Watch List
6274,10/2/2024,Watch List,,Sick for 2 days,,,Watch List
6231,10/2/2024,Watch List,,Sick for 2 days,,,Watch List
6279,10/1/2024,Watch List,,Sick for 2 days,,,Watch List
91409,9/30/2024,Watch List,,Sick for 2 days,Double OVS 2PgF,,Watch List
